Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
East Asia & Pacific (all income levels),EAS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,,,,,,,,,83.50691376,79.87017136,76.18426088,73.0368619,69.8206177,67.0499696,64.48272293,62.03422143,59.84480816,57.88208091,55.97920534,54.09647766,52.52523191,50.85686894,49.21648714,47.62004166,46.44667011,45.37542012,44.15661452,43.20960615,42.17349617,41.12950821,39.94626581,39.03937194,38.11182708,37.27945838,36.29940304,35.12690801,33.94374972,32.71116855,31.54083505,30.3028027,29.10614066,27.86350139,26.66459316,25.59888449,24.51639534,23.46389662,22.48166332,21.56862769,20.59118969,19.68340985,18.78679712,
East Asia & Pacific (all income levels),EAS,Population density (people per sq. km of land area),EN.POP.DNST,,43.06019507,43.63903669,44.68194391,45.71085015,46.78308343,47.99583536,49.17127105,50.36315114,51.70060994,53.03657996,54.41463865,55.71984432,56.96172762,58.19635736,59.31422471,60.30835222,61.24891175,62.1849531,63.13753319,64.07000438,65.03102272,66.0824361,67.13056555,68.13300416,69.15984515,70.25601767,71.41497644,72.58553095,73.72882437,74.83388558,75.8843071,76.86688602,77.81174546,78.7567476,79.70407264,80.63066737,81.5388457,82.41411072,83.23566479,84.06689478,84.8246959,85.5378994,86.21665532,86.8703139,87.51227415,88.13565672,88.74102683,89.33746869,89.9230275,90.51420582,
East Asia & Pacific (all income levels),EAS,"Population, total",SP.POP.TOTL,1045053409,1048188492,1062278887,1087665751,1112711799,1138812530,1168333823,1196946748,1225959970,1258516927,1291037644,1324582900,1356349166,1386577753,1416629116,1443832789,1468031941,1490920397,1513705507,1536893201,1559584999,1582984505,1608564121,1634077458,1658376399,1683363080,1710051142,1738253381,1766744889,1794572856,1821470245,1847037694,1870953842,1893951891,1916953413,1940016257,1962561732,1984666920,2005970993,2025967734,2044986903,2063254697,2080560567,2097030464,2112920584,2128532165,2143707714,2158440009,2172948104,2187190604,2201569787,
Europe & Central Asia (all income levels),ECS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,,,,,,,,,,,43.74657112,43.30057408,42.66901006,41.58384769,40.34275176,39.92507317,38.73321576,37.57843357,38.39305017,36.93508698,36.17333217,35.29326157,34.53265566,33.53617011,32.52221673,31.63887338,30.75260348,29.77761262,28.97077465,28.26103662,27.64345805,26.985879,26.35640222,25.70531346,24.84783062,23.86980393,22.91729865,21.83907442,20.73404233,19.67389657,18.68364171,17.76665564,16.89525095,16.10709978,15.3427881,14.62639141,13.98982474,13.41863847,12.81625624,12.28029844,11.76306504,
Europe & Central Asia (all income levels),ECS,Population density (people per sq. km of land area),EN.POP.DNST,,24.7228091,25.0203937,25.31142611,25.59790443,25.88172797,26.12317093,26.34699726,26.57589241,26.80445905,27.00316474,27.22711514,27.45236384,27.67158318,27.88043325,28.08047406,28.27614482,28.47028255,28.66180875,28.84965136,29.04379608,29.23967705,29.41456442,29.58120067,29.75563471,29.93604426,30.1161977,30.29735431,30.48231794,30.6650668,30.82513593,30.96259095,31.07707847,31.1920633,31.26958486,31.32403682,31.36591312,31.33584123,31.36765028,31.39906952,31.47212095,31.53062201,31.59930465,31.68806197,31.78828587,31.88965439,32.00220053,32.12639453,32.26458814,32.39232656,32.51126668,
Europe & Central Asia (all income levels),ECS,"Population, total",SP.POP.TOTL,667818107,675680207.3,683812764.2,691766996.1,699596513.3,707353216,713951642.9,720068599.1,726324082.8,732570851.5,738001245,744121576.5,750277661,756268408.4,761974359.6,767437278,772782966.3,778087298.8,783321672.9,788454220.9,793757246.2,799109730.4,803888750.3,808441375.9,813208582.6,818138798,823061709.2,828012635.4,833066995.9,838030462,842404604,846164448.7,849294476.3,852321133.4,854287747.5,855681407.6,856812172.4,858163535.8,859114803.3,860187996.9,861942838.4,863507168.3,865427441.3,867865384.6,870555300.1,873393822.5,876270142,879660808,883446335,886943978.9,890200713.8,
Latin America & Caribbean (all income levels),LCN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,114.480847,111.8223312,108.2430909,105.5905007,103.0130378,98.36292415,96.22968483,93.70397454,91.24866313,88.69546019,86.24592637,84.06483335,82.0062941,79.73599698,77.41111934,75.11051534,72.7592169,70.27579676,67.83498063,65.40036965,63.02643353,60.52138704,58.11648837,55.77493665,53.50848888,51.36676771,49.40416203,47.58749074,45.92175093,44.38494705,42.94344601,41.46460305,40.01217613,38.63729455,37.16028323,35.72446443,34.24652751,32.6982262,31.25256922,29.78412215,28.47283903,27.12420244,25.9003947,24.65483333,23.55768177,22.43866802,21.4090108,20.45550794,19.51970745,18.62618944,18.09583438,
Latin America & Caribbean (all income levels),LCN,Population density (people per sq. km of land area),EN.POP.DNST,,11.17990974,11.49828777,11.82359506,12.1521526,12.48141222,12.81045391,13.1398647,13.47152172,13.80835948,14.15247972,14.50408352,14.86228463,15.22709461,15.59761406,15.97317813,16.35424774,16.740024,17.12996887,17.52226079,17.91613069,18.31424168,18.71109076,19.10895171,19.50834684,19.90870202,20.31040908,20.71268387,21.11441631,21.51529211,21.91384971,22.30849263,22.70066478,23.09109779,23.480825,23.87035184,24.26025558,24.64929073,25.07890435,25.4591867,25.83191702,26.19839764,26.55911661,26.9114854,27.25821075,27.59954324,27.93546473,28.26550829,28.59157595,28.91568096,29.2397967,
Latin America & Caribbean (all income levels),LCN,"Population, total",SP.POP.TOTL,219297114,225526085.2,231948547.8,238510790.4,245138598.4,251780569,258418143.6,265063163.9,271753495.9,278548336.2,285490082,292582789.4,299808580.6,307167688.9,314641971.2,322220252,329905284.1,337687337.4,345553481.7,353466971.8,361410681,369441520.2,377446903.6,385472699,393529442.2,401605552,409708932.4,417823765.3,425927657.7,434014269.6,442054118,450014998,457926036.7,465801992.9,473663711.3,481521388,489386667.4,497234425.4,505186499.9,512846862.8,520355098.6,527737441.2,534976896.9,542074885.6,549059206.1,555935457.7,562701619,569349940,575917895.6,582446317.8,588974955.9,
Middle East & North Africa (all income levels),MEA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,,155.3131053,150.373868,145.722644,141.245791,147.6860884,143.3986878,139.2907687,135.0248023,131.2297688,127.1194986,122.8100603,118.7104026,113.5392055,109.3771687,105.417166,101.2567212,97.23822748,93.15738794,88.93225197,84.59645564,80.36282805,76.33074765,72.41257912,69.03351691,65.71925649,62.7772268,60.01719847,57.77102202,55.5240228,53.48782407,51.49595133,49.54906942,47.60669223,45.76189517,44.03682671,42.38387666,40.86516142,39.5420805,38.13392585,36.69013038,35.28671918,33.99647935,32.79884406,31.59840048,30.45359666,29.38827139,28.34152143,27.41183764,26.52436825,25.5704026,
Middle East & North Africa (all income levels),MEA,Population density (people per sq. km of land area),EN.POP.DNST,,9.754264316,10.0165333,10.28715909,10.56990254,10.86368559,11.16801112,11.48913854,11.81532568,12.1504301,12.49353184,12.84069781,13.19450146,13.56512889,13.95048027,14.35556111,14.78135317,15.22913415,15.70078051,16.20069718,16.72785897,17.27517568,17.84719432,18.43803954,19.03422605,19.64331953,20.26263253,20.88017524,21.49020608,22.07994045,22.84254798,23.44242555,23.82113792,24.36377384,24.89348491,25.56069146,26.07800122,26.59503994,27.11410172,27.64258809,28.19083438,28.7457845,29.31640879,29.9014907,30.5095174,31.13762887,31.79441122,32.47493315,33.16474233,33.85367213,34.5213496,
Middle East & North Africa (all income levels),MEA,"Population, total",SP.POP.TOTL,105401943,108164354.2,111072636.6,114073587,117208909.4,120466649,123841293.6,127402253,131019319.4,134735268.8,138539900,142389599.2,146312903.1,150422222.1,154695341.2,159187238,163908799.3,168874193.4,174104228,179647749,185493388,191562522.8,197905574.6,204457392.3,211068438.9,217822609.5,224690103.3,231537966.4,238302531.3,244842030.9,253298501.9,259950478.3,264150454.5,270167695.4,276041613.8,283440207.1,289176608.5,294910004.3,300665833.7,306526171.5,312605625.3,318759417.2,325087018.6,331569556.9,338311495.8,345276759.4,352561549.1,360108363.5,367757858.1,375397276.6,382801031.9,
North America,NAC,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,26.19728388,25.65825527,25.10885693,24.46914257,23.91967169,23.29022621,22.74182094,22.01348342,21.2951364,20.48641827,19.7681242,18.94952111,18.14930468,17.33928118,16.52890565,15.71835552,15.00790091,14.30743078,13.60751994,12.89861157,12.39038311,11.88278457,11.38494621,10.97783599,10.67074345,10.36341988,10.1646631,9.956295937,9.656493303,9.456361995,9.165250628,8.874504106,8.49334921,8.203845535,7.914960452,7.717933992,7.521607469,7.333973112,7.237865627,7.049412738,6.960025947,6.961861694,6.870413422,6.77809135,6.777440224,6.676231199,6.582505763,6.580955476,6.48754373,6.48639056,6.393656131,
North America,NAC,Population density (people per sq. km of land area),EN.POP.DNST,,11.0673759,11.24220656,11.40958618,11.57445109,11.72611234,11.87008698,12.00798575,12.13547499,12.25907436,12.40546511,12.56599829,12.70749632,12.83834821,12.9670581,13.10695729,13.23686811,13.3728603,13.51455032,13.66308871,13.79930004,13.93891912,14.07590842,14.20643287,14.33131425,14.45948285,14.59491073,14.732037,14.87206698,15.02573891,15.20198307,15.40684146,15.619465,15.82320745,16.0141836,16.20015757,16.3882952,16.58434408,16.77378566,16.96210959,17.14574643,17.32227035,17.48673549,17.64210199,17.80858789,17.97425047,18.14829301,18.32983849,18.51603368,18.6838262,18.81610352,
North America,NAC,"Population, total",SP.POP.TOTL,198624409,202007500,205198600,208253700,211262900,214031100,216659000,219176000,221503000,223759000,226431000,229361135.2,231943830.8,234332207.5,236681487.3,239235000,241606200,244088400,246674600,249385800,251872000,254420400,256920800,259303200,261582600,263922000,266393900,268896800,271452700,274257600,277474500,281213682,285094597.4,288813410.4,292299206.4,295693700,299127686,302706072,306163858.2,309601244.6,313003831,316226360,319228750,322065040,325104320,328128570,331305800,334620000,337750600,340811300,343224168,
South Asia,SAS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,161.4710498,157.8363294,154.3481316,151.3241654,148.3488894,145.3767236,142.4240645,139.7928973,136.9934907,134.4422139,131.8091719,129.1724654,126.5995041,124.2521114,121.8694013,119.4806506,117.0598701,114.6683187,112.0269811,109.6592693,107.1693864,104.9585565,102.7097283,100.5975639,98.54724478,96.25458763,94.1499802,91.994246,89.97736066,87.93478403,85.86442722,83.83740988,81.70658678,79.54812285,77.52916057,75.35138606,73.23320984,71.18083448,69.2948731,67.47835028,65.6600699,64.02379129,62.49132129,60.94260014,59.40206422,57.98025929,56.65116025,55.33059577,54.11127055,52.8580619,51.63992379,
South Asia,SAS,Population density (people per sq. km of land area),EN.POP.DNST,,119.96827,122.7608186,125.6698968,128.6951324,131.8325042,135.0835734,138.4343818,141.8482833,145.2786596,148.6956366,152.0789465,155.4396008,158.8373897,162.3599981,166.066696,169.9850124,174.0833888,178.3362687,182.7025443,187.1474795,191.6465171,196.1991823,200.7917503,205.4115578,210.0406994,214.9664466,219.9307409,224.9345718,229.9386325,234.9283748,239.9458002,244.786992,249.6659451,254.9029013,259.836145,264.8079159,269.8280559,274.8769709,279.9272153,284.937558,289.8533735,294.6562624,299.3428465,304.0197631,308.4746378,312.9806357,317.4135668,321.8864982,326.4233902,331.0410587,
South Asia,SAS,"Population, total",SP.POP.TOTL,560619103,573385947.2,586732877.2,600636758.2,615095811.2,630090817,645629237.2,661644359.2,677961033.2,694356448.2,710687821,726858283,742920463.2,759160127.4,775996363.6,793712452,812439966.9,832028075,852354629.6,873223156.2,894467635.5,915970695.7,937730067.8,959680154.7,981760432.5,1003885322,1027427832,1051154578,1075070287,1098987095,1122835469,1146816153,1169954532,1193273391,1216536842,1240080994,1263809019,1287767888,1311864088,1335966631,1359978471,1383441166,1406364875,1428733472,1450545174,1471800361,1493299469,1514449958,1535791298,1557437808,1579469720,
Sub-Saharan Africa (all income levels),SSF,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,,,,,,146.7628097,144.5108133,142.3496611,141.164179,138.7462234,136.6298649,134.6658128,132.7011068,130.6506625,128.6832778,123.7663395,121.7274482,119.8156916,117.9565991,117.3464975,115.7011889,114.0796653,112.6557937,111.2535272,110.1539842,109.1438845,108.1652447,107.2341944,106.4033006,105.7554878,105.1641135,104.6861904,104.1377086,103.4383189,102.9746147,101.9201382,100.5982695,99.23153509,97.62890368,95.95538099,94.26001874,92.49328539,90.78882107,89.09381043,87.29794834,85.52917629,83.54398398,81.62987623,79.80938507,78.03238476,76.35755451,
Sub-Saharan Africa (all income levels),SSF,Population density (people per sq. km of land area),EN.POP.DNST,,9.993482584,10.23787578,10.4893094,10.74809087,11.01463614,11.28949777,11.57346454,11.8674516,12.17248138,12.48942751,12.81959922,13.16192627,13.51715191,13.88645231,14.27030315,14.66884082,15.08197731,15.50963315,15.95171275,16.40801591,16.87791963,17.36146123,17.85892158,18.37072456,18.89694339,19.43740898,19.99109518,20.55670464,21.13256228,21.71713852,22.31376627,22.92277734,23.54369762,24.17606171,24.81950595,25.47505366,26.14347487,26.82608483,27.52500454,28.24156981,28.96753374,29.69815241,30.44426798,31.20641597,31.98594477,32.78357738,33.59960268,34.4365306,35.2953944,36.17718178,
Sub-Saharan Africa (all income levels),SSF,"Population, total",SP.POP.TOTL,230371813,235988196.4,241759348.6,247696754.9,253807675,260101931,266592571.1,273298222.1,280240494.3,287443531.5,294927964,302724708.1,310808491,319196863.9,327912046.4,336970519,346381352.5,356136913.8,366235326.6,376674333.3,387449207,398545236.2,409963302.2,421710037.5,433795451.1,446221272,458983507.6,472057926.9,485413895,499011857.5,512815696,526904111.6,541284939.8,555946984.8,570879257.3,586073170,601552887,617336591,633455339.8,649959217.5,666879767,684022251,701274649,718892982,736889895,755297228,774132054,793401194,813163916,833444619,854266626,
